,职位名称,公司名称,职位月薪,工作地点,发布日期
58,技术管理工程师,厦门市美亚柏科信息股份有限公司,1000元以下,厦门,最新
59,全栈开发工程师,厦门厦科云海信息技术有限公司,6001-8000,厦门,最新
60,大数据高级开发工程师,厦门市美亚柏科信息股份有限公司,10000-20000,厦门,最新
62,算法工程师,厦门厦科云海信息技术有限公司,6001-8000,厦门,最新
63,算法工程师,xmcx2018,面议,厦门,最新
64,计算机视觉工程师,xmcx2018,面议,厦门,最新
65,C/C++开发实习生,xmcx2018,面议,厦门,最新
66,测试开发实习生,xmcx2018,面议,厦门,最新
67,软件实施工程师留用实习生,北京百知教育科技有限公司,7200-12000,厦门,最新
68,大数据+人工智能开发定岗实习生,北京百知教育科技有限公司,7200-13000,厦门,最新
69,安全大数据分析专员,厦门市美亚柏科信息股份有限公司,8000-15000,厦门,招聘中
70,ETL/BI/数据分析工程师（长亮数据）,深圳市长亮科技股份有限公司,8000-16000,厦门,招聘中
71,IT培训讲师（Linux）,中公教育福建分公司,8001-10000,厦门,招聘中
72,测试工程师,上海怡科信息科技有限公司,5500-8000,厦门,招聘中
73,推荐算法工程师（厦门）,笨鸟社交,20000-40000,厦门,招聘中
74,高级算法工程师,北明软件,25000-35000,厦门,招聘中
75,测试工程师,上海怡胜信息科技有限公司,5500-8000,厦门,招聘中
76,高级C++研发工程师,厦门市美亚柏科信息股份有限公司,8000-16000,厦门,招聘中
77,搜索算法工程师（厦门）,笨鸟社交,20000-40000,厦门,招聘中
78,数据分析专员,厦门科易网科技有限公司,4001-6000,厦门,最近
79,安全技术专家,北京网宿科技有限公司,10000-20000,厦门,招聘中
80,数据分析师,厦门链家宝业房地产经纪有限公司,6001-8000,厦门,招聘中
81,软件测试工程师（白盒测试）,厦门雅迅网络股份有限公司,5000-10000,厦门,招聘中
82,C/C++软件开发工程师,北京网宿科技有限公司,10001-15000,厦门,招聘中
83,linux应用开发工程师（信息安全方向）,厦门雅迅网络股份有限公司,6000-12000,厦门,招聘中
84,运维工程师,厦门真有趣信息科技有限公司,6001-8000,厦门,招聘中
85,测试开发工程师,北京网宿科技有限公司,8000-12000,厦门,招聘中
86,自然语言处理工程师（厦门）,笨鸟社交,25000-45000,厦门,招聘中
87,AI 人工智能定岗生,北京润斯顿教育科技有限公司,8001-10000,厦门,最新
88,高级运维/运维开发工程师,厦门亿联网络技术股份有限公司,15000-25000,厦门,招聘中
89,高级运维工程师,厦门真有趣信息科技有限公司,8000-16000,厦门-思明区,招聘中
90,前端架构师,美团点评,20001-30000,厦门,招聘中
91,C/C++开发工程师,北京网宿科技有限公司,8000-15000,厦门,招聘中
92,高级工程效率开发,美团点评,15000-30000,厦门,最近
93,高级算法,美团点评,15000-30000,厦门,最近
94,Java软件开发工程师（分布式）,北京网宿科技有限公司,7000-13000,厦门,招聘中
95,乐高机器人老师,北京永同昌房地产开发集团有限公司,5000-7000,厦门-湖里区,招聘中
96,安全工程师,中国联合网络通信有限公司福建省分公司（中国联通）,6001-8000,厦门,招聘中
97,java开发程序员工程师服务端PHP,泉州俩肥猫网络科技有限公司,10001-15000,厦门,招聘中
98,测试工程师（数据库）,北京网宿科技有限公司,7000-13000,厦门,招聘中
99,软件测试工程师（厦门）,亚信科技(中国)有限公司,8001-10000,厦门-湖里区,招聘中
100,软件测试工程师,北京网宿科技有限公司,8000-13000,厦门,招聘中
102,人工智能算法工程师,北京网宿科技有限公司,10001-15000,厦门,招聘中
103,测试主管,尤塔卡(厦门)网络科技有限公司,10000-15000,厦门,招聘中
104,高级Java工程师(地点：厦门）,福建福诺移动通信技术有限公司,15001-20000,厦门,招聘中
105,EBS技术顾问,北京宇信科技集团股份有限公司,8000-16000,厦门,最新
106,AI技术专家,北京网宿科技有限公司,50000-100000,厦门,招聘中
107,JAVA开发工程师,厦门道拓科技有限公司,10001-15000,厦门,最近
108,人工智能平台Web开发工程师,厦门市美亚柏科信息股份有限公司,8000-16000,厦门,招聘中
109,引擎研发部-高级技术工程师/技术专家-厦门,阿里巴巴集团,1000元以下,厦门,招聘中
110,ASP.Net开发工程师（核心开发人员）,南京蒙正智库房地产信息咨询有限公司,8000-16000,厦门-集美区,招聘中
111,数据分析,厦门链家宝业房地产经纪有限公司,4000-7000,厦门,招聘中
112,NLP工程师,厦门邑通软件科技有限公司,10000-20000,厦门,最新
113,iOS开发工程师（同步推）,厦门同步网络有限公司,10000-20000,厦门,最新
114,技术架构师,朗新科技股份有限公司,15000-29999,厦门,招聘中
115,Java工程师,厦门意外境界文化传播有限公司,7000-14000,厦门-思明区,招聘中
116,生物信息分析工程师,厦门安捷致善医学数据科技有限公司,5000-7000,厦门-翔安区,招聘中
117,数据研究院-数据挖掘工程师,笨鸟社交,15000-30000,厦门,招聘中
118,PHP 开发工程师,厦门市月轮网络科技有限公司,6000-12000,厦门,招聘中
119,PHP开发工程师,厦门铃盛软件有限公司,15000-25000,厦门,最近
120,游戏逻辑开发工程师,厦门第二世界网络科技有限公司,6000-10000,厦门,最近
121,后端开发工程师,根号学苑(厦门)网络科技有限公司,6001-8000,厦门-湖里区,招聘中
123,测试工程师,厦门万物云联网络科技有限公司,6000-12000,厦门,招聘中
124,数据分析工程师,碧斯诺兰实业发展有限公司,8000-15000,厦门,招聘中
